ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
1,,,,Which of the following types of technologies would be the MOST cost-effective method to provide a reactive control for protecting personnel in public areas?,Install mantraps at the building entrances,Enclose the personnel entry area with polycarbonate plastic,Supply a duress alarm for personnel exposed to the public,Hire a guard to protect the public area,,,,,,,,,,,D
2,,,,An important principle of defense in depth is that achieving information security requires a balanced focus on which PRIMARY elements?,"Development, testing, and deployment","Prevention, detection, and remediation","People, technology, and operations","Certification, accreditation, and monitoring",,,,,,,,,,,C
3,,,,Which of the following represents the GREATEST risk to data confidentiality?,Network redundancies are not implemented,Security awareness training is not completed,Backup tapes are generated unencrypted,Users have administrative privileges,,,,,,,,,,,C
4,,,,What is the MOST important consideration from a data security perspective when an organization plans to relocate?,Ensure the fire prevention and detection systems are sufficient to protect personnel,Review the architectural plans to determine how many emergency exits are present,Conduct a gap analysis of a new facilities against existing security requirements,Revise the Disaster Recovery and Business Continuity (DR/BC) plan,,,,,,,,,,,C
5,,,,Which of the following actions will reduce risk to a laptop before traveling to a high risk area?,Examine the device for physical tampering,Implement more stringent baseline configurations,Purge or re-image the hard disk drive,Change access codes,,,,,,,,,,,D
6,,,,"When assessing an organization’s security policy according to standards established by the International Organization for Standardization (ISO) 27001 and 27002, when can management responsibilities be defined?",Only when assets are clearly defined,Only when standards are defined,Only when controls are put in place,Only procedures are defined,,,,,,,,,,,A
7,,,,Intellectual property rights are PRIMARY concerned with which of the following?,Owner’s ability to realize financial gain,Owner’s ability to maintain copyright,Right of the owner to enjoy their creation,Right of the owner to control delivery method,,,,,,,,,,,C
8,,,,All of the following items should be included in a Business Impact Analysis (BIA) questionnaire EXCEPT questions that,determine the risk of a business interruption occurring,determine the technological dependence of the business processes,Identify the operational impacts of a business interruption,Identify the financial impacts of a business interruption,,,,,,,,,,,B
9,,,,"A company whose Information Technology (IT) services are being delivered from a Tier 4 data center, is preparing a companywide Business Continuity Planning (BCP). Which of the following failures should the IT manager be concerned with?",Application,Storage,Power,Network,,,,,,,,,,,C
10,,,,Which of the following is an effective control in preventing electronic cloning of Radio Frequency Identification (RFID) based access cards?,Personal Identity Verification (PIV),Cardholder Unique Identifier (CHUID) authentication,Physical Access Control System (PACS) repeated attempt detection,Asymmetric Card Authentication Key (CAK) challenge-response,,,,,,,,,,,A
11,,,,"When implementing a data classification program, why is it important to avoid too much granularity?",The process will require too many resources,It will be difficult to apply to both hardware and software,It will be difficult to assign ownership to the data,The process will be perceived as having value,,,,,,,,,,,C
12,,,,Which of the following is an initial consideration when developing an information security management system?,Identify the contractual security obligations that apply to the organizations,Understand the value of the information assets,Identify the level of residual risk that is tolerable to management,Identify relevant legislative and regulatory compliance requirements,,,,,,,,,,,D
13,,,,Which one of the following affects the classification of data?,Assigned security label,Multilevel Security (MLS) architecture,Minimum query size,Passage of time,,,,,,,,,,,D
14,,,,Which of the following BEST describes the responsibilities of a data owner?,Ensuring quality and validation through periodic audits for ongoing data integrity,"Maintaining fundamental data availability, including data storage and archiving","Ensuring accessibility to appropriate users, maintaining appropriate levels of data security",Determining the impact the information has on the mission of the organization,,,,,,,,,,,D
15,,,,"In a data classification scheme, the data is owned by the",system security managers,business managers,Information Technology (IT) managers,end users,,,,,,,,,,,B
16,,,,Which of the following is MOST important when assigning ownership of an asset to a department?,The department should report to the business owner,Ownership of the asset should be periodically reviewed,Individual accountability should be ensured,All members should be trained on their responsibilities,,,,,,,,,,,D
17,,,,An organization has doubled in size due to a rapid market share increase. The size of the Information Technology (IT) staff has maintained pace with this growth. The organization hires several contractors whose onsite time is limited. The IT department has pushed its limits building servers and rolling out workstations and has a backlog of account management requests. Which contract is BEST in offloading the task from the IT staff?,Platform as a Service (PaaS),Identity as a Service (IDaaS),Desktop as a Service (DaaS),Software as a Service (SaaS),,,,,,,,,,,B
18,,,,Who in the organization is accountable for classification of data information assets?1,Data owner2,Data architect3,Chief Information Security Officer (CISO)4,Chief Information Officer (CIO)5,,,,,,,,,,,A
19,,,,The use of private and public encrypt8ion keys is fundamental in the implementation of which of the following?,Diffie-Hellman algorithm,Secure Sockets Layer (SSL),Advanced Encryption Standard (AES),Message Digest 5 (MD5),,,,,,,,,,,B
20,,,,What is the second phase of Public Key Infrastructure (PKI) key/certificate life-cycle management?,Implementation Phase,Initialization Phase,Cancellation Phase,Issued Phase,,,,,,,,,,,D
21,,,,Which security service is served by the process of encryption plaintext with the sender’s private key and decrypting cipher text with the sender’s public key?,Confidentiality,Integrity,Identification,Availability,,,,,,,,,,,A
22,,,,Which technique can be used to make an encryption scheme more resistant to a known plaintext attack?,Hashing the data before encryption,Hashing the data after encryption,Compressing the data after encryption,Compressing the data before encryption,,,,,,,,,,,D
23,,,,Which component of the Security Content Automation Protocol (SCAP) specification contains the data required to estimate the severity of vulnerabilities identified automated vulnerability assessments?,Common Vulnerabilities and Exposures (CVE),Common Vulnerability Scoring System (CVSS),Asset Reporting Format (ARF),Open Vulnerability and Assessment Language (OVAL),,,,,,,,,,,B
24,,,,Which of the following mobile code security models relies only on trust?,Code signing,Class authentication,Sandboxing,Type safety,,,,,,,,,,,A
25,,,,At what level of the Open System Interconnection (OSI) model is data at rest on a Storage Area Network (SAN) located?,Link layer,Physical layer,Session layer,Application layer,,,,,,,,,,,D
